<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
NLC,20100131.0,3.93,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100132.0,5.895,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100133.0,6.8775,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100134.0,7.36875,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100135.0,7.614375,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100136.0,7.7371875,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100137.0,7.79859375,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100138.0,7.829296875,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100139.0,7.8446484375,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100140.0,7.85232421875,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100141.0,7.85616210938,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100142.0,7.85808105469,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100143.0,7.85904052734,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100144.0,7.85952026367,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100145.0,7.85976013184,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100146.0,7.85988006592,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100147.0,7.85994003296,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100148.0,7.85997001648,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100149.0,7.85998500824,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100150.0,7.85999250412,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100151.0,7.85999625206,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100152.0,7.85999812603,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100153.0,7.85999906301,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100154.0,7.85999953151,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100155.0,7.85999976575,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100156.0,7.85999988288,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100157.0,7.85999994144,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100158.0,7.85999997072,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100159.0,7.85999998536,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100160.0,7.85999999268,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100161.0,7.85999999634,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100162.0,7.85999999817,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100163.0,7.85999999908,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100164.0,7.85999999954,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100165.0,7.85999999977,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100166.0,7.85999999989,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100167.0,7.85999999994,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100168.0,7.85999999997,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100169.0,7.85999999999,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100170.0,7.85999999999,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100171.0,7.86,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100172.0,7.86,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100173.0,7.86,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100174.0,7.86,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100175.0,7.86,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100176.0,7.86,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLC,20100177.0,7.86,4.0,3.93,4.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
